GesNr.,,3,4,5,6,7,8,9,13,14
Nr,,1,1,2,3,3,4,4,5,5
Kurzname,,Mead Node,Mead Node,Mead React,Grider Fullstack,Grider Fullstack,Grider Redux,Grider Redux,Traversy Mongo,Traversy Mongo
name,,node-chat-app,node-todo-api,expensify,server,client,server,redux-simple-starter,vidjot,storybooks
Attr2 \ Attr1,Anz,n-9-23-private-messages,n-10-05-after-async-await-in-todo-api,r-19-12-final-deployment,FullstackReactCode/server,FullstackReactCode/server/client,AdvancedReduxCode/auth/server,AdvancedReduxCode/auth/client,vidjot,storybooks
devDependencies++babel-preset-react,1,---,---,---,---,---,---,^6.1.18,---,---
devDependencies++chai,1,---,---,---,---,---,---,^3.5.0,---,---
devDependencies++chai-jquery,1,---,---,---,---,---,---,^2.0.0,---,---
devDependencies++cross-env,1,---,---,5.0.5,---,---,---,---,---,---
devDependencies++dotenv,1,---,---,4.0.0,---,---,---,---,---,---
devDependencies++enzyme,1,---,---,2.9.1,---,---,---,---,---,---
devDependencies++enzyme-to-json,1,---,---,1.5.1,---,---,---,---,---,---
devDependencies++expect,2,^1.20.2,^1.20.2,---,---,---,---,---,---,---
devDependencies++jest,1,---,---,20.0.4,---,---,---,---,---,---
devDependencies++jquery,1,---,---,---,---,---,---,^2.2.1,---,---
devDependencies++jsdom,1,---,---,---,---,---,---,^8.1.0,---,---
devDependencies++mocha,3,^3.0.2,^3.0.2,---,---,---,---,^2.4.5,---,---
devDependencies++nodemon,2,^1.10.2,^1.10.2,---,---,---,---,---,---,---
devDependencies++react-addons-test-utils,1,---,---,---,---,---,---,^0.14.7,---,---
devDependencies++react-test-renderer,1,---,---,15.6.1,---,---,---,---,---,---
devDependencies++supertest,1,---,^2.0.0,---,---,---,---,---,---,---
devDependencies++webpack,1,---,---,---,---,---,---,^1.12.9,---,---
devDependencies++webpack-dev-server,2,---,---,2.5.1,---,---,---,^1.14.0,---,---
engines,3,"{""node"":""6.2.2""}","{""node"":""6.2.2""}",---,"{""node"":""8.1.1""-""npm"":""5.0.3""}",---,---,---,---,---
license,8,ISC,ISC,MIT,ISC,---,ISC,ISC,MIT,MIT
main,8,index.js,index.js,index.js,index.js,---,index.js,index.js,app.js,app.js
,9,,,,,,,,,
private,1,---,---,---,---,true,---,---,---,---
proxy,1,---,---,---,---,"{""/auth/google"":{""target"":""http://localhost:5000""}-""/api/*"":{""target"":""http://localhost:5000""}}",---,---,---,---
repository,1,---,---,---,---,---,---,git@github.com:StephenGrider/ReduxSimpleStarter.git,---,---
scripts++build,1,---,---,---,---,react-scripts build,---,---,---,---
scripts++build:dev,1,---,---,webpack,---,---,---,---,---,---
scripts++build:prod,1,---,---,webpack -p --env production,---,---,---,---,---,---
scripts++client,1,---,---,---,npm run start --prefix client,---,---,---,---,---
scripts++dev,2,---,---,---,"concurrently ""npm run server"" ""npm run client"" ""npm run webhook""",---,nodemon index.js,---,---,---
scripts++dev-server,1,---,---,webpack-dev-server,---,---,---,---,---,---
scripts++eject,1,---,---,---,---,react-scripts eject,---,---,---,---
scripts++heroku-postbuild,2,---,---,yarn run build:prod,NPM_CONFIG_PRODUCTION=false npm install --prefix client && npm run build --prefix client,---,---,---,---,---
scripts++server,1,---,---,---,nodemon index.js,---,---,---,---,---
scripts++start,8,node server/server.js,node server/server.js,node server/server.js,node index.js,react-scripts start,---,node ./node_modules/webpack-dev-server/bin/webpack-dev-server.js,node app.js,node app.js
scripts++test,6,mocha server/**/*.test.js,export NODE_ENV=test || SET NODE_ENV=test && mocha server/**/*.test.js,cross-env NODE_ENV=test jest --config=jest.config.json,---,react-scripts test --env=jsdom,"echo ""Error: no test specified"" && exit 1",mocha --compilers js:babel-core/register --require ./test/test_helper.js --recursive ./test,---,---
scripts++test-watch,2,nodemon --exec 'npm test',nodemon --exec 'npm test',---,---,---,---,---,---,---
scripts++test:watch,1,---,---,---,---,---,---,npm run test -- --watch,---,---
scripts++webhook,1,---,---,---,./sendgrid_webhook.sh,---,---,---,---,---
version,9,1.0.0,1.0.0,1.0.0,1.0.0,0.1.0,1.0.0,1.0.0,1.0.0,1.0.0
